,score,regime,spread_bp,chg13w,net_liq_bn
2026-04-15,42.49999999999993,TIGHT,7.000000000000028,154.817,5954.119
2026-04-16,54.99999999999999,BAL,2.0000000000000018,153.66199999999935,5954.183999999999
2026-04-17,60.0,AMPLE,0.0,152.90200000000004,5954.205
2026-04-20,65.0,AMPLE,-2.0000000000000018,152.53600000000006,5953.839
2026-04-21,65.0,AMPLE,-2.0000000000000018,154.51600000000053,5953.535
2026-04-22,42.49999999999994,TIGHT,-0.9999999999999787,-11.061999999998989,5700.9130000000005
2026-04-23,40.0,TIGHT,0.0,-11.923999999999069,5701.337
2026-04-24,37.49999999999994,TIGHT,1.000000000000023,-13.023000000000138,5701.369
2026-04-27,37.49999999999994,TIGHT,1.000000000000023,-12.74200000000019,5701.088
2026-04-28,42.49999999999994,TIGHT,-0.9999999999999787,-13.25799999999981,5700.808
2026-04-29,55.00000000000001,BAL,-2.0000000000000018,53.85099999999966,5717.273999999999
2026-04-30,47.49999999999994,BAL,1.000000000000023,48.08599999999933,5709.759999999999
2026-05-01,52.49999999999994,BAL,-0.9999999999999787,62.516999999999825,5717.414
2026-05-04,55.00000000000001,BAL,-2.0000000000000018,63.29199999999946,5717.402999999999
2026-05-05,57.49999999999995,BAL,-2.9999999999999805,54.15799999999945,5716.898999999999
2026-05-06,71.0,AMPLE,-4.0000000000000036,135.38900000000103,5830.111000000001
2026-05-07,73.49999999999996,AMPLE,-4.999999999999982,135.58300000000054,5830.9710000000005
2026-05-08,73.49999999999996,AMPLE,-4.999999999999982,136.9320000000007,5830.957
2026-05-11,73.49999999999996,AMPLE,-4.999999999999982,134.78100000000086,5830.611000000001
2026-05-12,73.49999999999996,AMPLE,-4.999999999999982,134.8560000000016,5830.545000000001
2026-05-13,80.00000000000001,ABUND,-6.000000000000005,180.1710000000012,5886.1990000000005
2026-05-14,87.49999999999997,ABUND,-8.999999999999986,183.65200000000186,5887.884000000001
2026-05-15,90.00000000000003,ABUND,-10.000000000000009,182.57200000000194,5889.271000000001
2026-05-18,95.00000000000003,ABUND,-12.00000000000001,176.02600000000166,5882.725
2026-05-19,100.0,ABUND,-14.000000000000012,170.3720000000012,5877.0070000000005
2026-05-20,100.0,ABUND,-14.999999999999991,207.67099999999937,5907.483
2026-05-21,100.0,ABUND,-14.000000000000012,229.03299999999945,5929.069
2026-05-22,90.00000000000003,ABUND,-10.000000000000009,231.21299999999974,5931.385
2026-05-25,90.00000000000003,ABUND,-10.000000000000009,231.59400000000005,5931.385
2026-05-26,70.0,AMPLE,-2.0000000000000018,230.8119999999999,5930.563
2026-05-27,56.00000000000001,BAL,-2.0000000000000018,147.20799999999963,5872.2339999999995
2026-05-28,58.49999999999995,BAL,-2.9999999999999805,150.53500000000076,5872.924
2026-05-29,56.00000000000001,BAL,-2.0000000000000018,152.54300000000057,5862.41
2026-06-01,51.0,BAL,0.0,147.22700000000077,5872.785
2026-06-02,56.00000000000001,BAL,-2.0000000000000018,146.60300000000007,5871.584999999999
2026-06-03,55.00000000000001,BAL,-4.0000000000000036,37.75600000000031,5833.72
2026-06-04,52.49999999999995,BAL,-2.9999999999999805,40.61199999999917,5834.66
2026-06-05,50.00000000000001,BAL,-2.0000000000000018,39.6919999999991,5835.021
2026-06-08,50.00000000000001,BAL,-2.0000000000000018,37.4409999999998,5833.95
2026-06-09,57.49999999999996,BAL,-4.999999999999982,38.641999999999825,5835.205
2026-06-10,70.00000000000001,AMPLE,-6.000000000000005,89.28199999999924,5896.888
2026-06-11,67.49999999999996,AMPLE,-4.999999999999982,88.79399999999896,5896.815
2026-06-12,55.0,BAL,0.0,89.08999999999924,5896.821
2026-06-15,44.99999999999999,TIGHT,4.0000000000000036,89.11799999999948,5896.6939999999995
2026-06-16,60.00000000000001,AMPLE,-2.0000000000000018,79.1929999999993,5886.554
2026-06-17,50.00000000000001,BAL,-2.0000000000000018,46.693999999999505,5848.883
2026-06-18,52.49999999999995,BAL,-2.9999999999999805,53.20999999999913,5855.46
2026-06-19,52.49999999999995,BAL,-2.9999999999999805,53.39499999999953,5855.46
2026-06-22,55.00000000000001,BAL,-4.0000000000000036,49.7559999999994,5851.786
2026-06-23,52.49999999999995,BAL,-2.9999999999999805,47.46299999999883,5849.227
2026-06-24,52.49999999999995,BAL,-2.9999999999999805,30.108000000001084,5812.415000000001
2026-06-25,47.49999999999994,BAL,-0.9999999999999787,29.032000000001062,5811.231000000001
2026-06-26,52.49999999999995,BAL,-2.9999999999999805,28.431000000000495,5810.523
2026-06-29,52.49999999999995,BAL,-2.9999999999999805,31.071000000000822,5813.403
2026-06-30,37.499999999999936,TIGHT,3.000000000000025,22.747000000001208,5790.049000000001
2026-07-01,52.49999999999994,BAL,1.000000000000023,17.80699999999979,5843.326
2026-07-02,57.49999999999994,BAL,-0.9999999999999787,14.853000000000065,5842.152
2026-07-03,57.49999999999994,BAL,-0.9999999999999787,14.853000000000065,5842.152
2026-07-06,60.00000000000001,AMPLE,-2.0000000000000018,14.208999999999833,5841.608
2026-07-07,62.49999999999995,AMPLE,-2.9999999999999805,27.561999999999898,5839.843
2026-07-08,72.49999999999996,AMPLE,-6.999999999999984,12.882000000000517,5958.200000000001
2026-07-09,85.00000000000003,ABUND,-12.00000000000001,10.682000000000698,5955.775000000001
2026-07-10,80.00000000000003,ABUND,-10.000000000000009,16.014000000000124,5961.002
2026-07-13,67.49999999999996,AMPLE,-4.999999999999982,15.484000000000378,5960.752
